metric_id,source_order,source_id,variable_code,variable_name,driver_code,driver_name,barrier_grouping,variable_weight,assessment_item,report_metric_label,what_this_checks,option_1,option_2,option_3,option_4,option_5,na_option,question_type,report_feed,source
R11.11,42,G42,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,The percentage of our team currently overstretched or fatigued is manageable,Cashflow and runway visibility,"Choose the option that best reflects current capacity risk, not what you wish were true.",1 — More than 75% of the team is overstretched or fatigued,2 — About 50–75% of the team is overstretched or fatigued,3 — About 25–49% of the team is overstretched or fatigued,4 — About 10–24% of the team is overstretched or fatigued,"5 — Less than 10% is overstretched, or active recovery buffers are working",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G5.3 — statement and choices preserved
R11.12,43,G43,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,"Our plans and delivery timelines are realistic for our team, resources, and context",Reserve and core-cost planning,"Check whether timelines reflect actual capacity, delays, risk, community time, and administrative load.",1 — Plans/timelines are unrealistic and likely to fail,2 — Timelines are overly ambitious with serious capacity risks,3 — Plans are possible but need adjustment or extra resources,4 — Plans are mostly realistic with minor pressure points,"5 — Plans are realistic, resourced, and context-aware",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G5.4 — statement and choices preserved
R11.13,44,G44,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,Financial and narrative reports are produced on time,Bank reconciliation discipline,"Answer based on recent reporting behaviour, not intention.",1 — Reports are usually late or missing,2 — Reports are often delayed or require crisis effort,3 — Reports are sometimes on time but inconsistent,4 — Reports are mostly on time with minor delays,5 — Financial and narrative reports are consistently timely and complete,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G5.5 — statement and choices preserved
R11.14,45,G45,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,"Every expense is recorded and receipted with date, amount, purpose, and budget line",Grant size versus financial stretch risk,Check whether expense evidence is complete enough for grant reporting and audit/review.,1 — Expenses are often missing receipts or key details,2 — Many expenses are recorded but evidence is incomplete,"3 — Most expenses are recorded, with some missing details",4 — Expenses are mostly complete and traceable,"5 — Every expense is fully recorded, receipted, and budget-linked",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G5.6 — statement and choices preserved
R11.15,46,G46,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,We have accounting software or structured spreadsheets for financial tracking,Tax and statutory compliance evidence,"Assess whether financial tracking is structured enough to show balances, categories, budgets, restrictions, and actuals.",1 — No structured financial tracking system is used,"2 — Tracking exists but is messy, manual, or hard to trust",3 — A basic system exists but needs cleanup or consistency,4 — Tracking is mostly structured and usable,"5 — Financial tracking is structured, current, and funder/audit-ready",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G5.7 — statement and choices preserved
R12.01,47,G47,R12,Grant management & sustainability,D23,Grant management and renewal,"B6 - Post-Award, Renewal & Adaptability",,"We have live grant management systems to track grant budgets, restrictions, and reporting deadlines without losing them",Funder diversification strategy,Check whether grant obligations are actively tracked beyond someone's memory or inbox.,1 — Grant obligations are not tracked in a live system,2 — Tracking depends on one person or scattered notes,3 — Some grant tracking exists but gaps create risk,4 — Grant tracking is mostly live and reliable,"5 — Grant budgets, restrictions, and deadlines are actively tracked and reviewed",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Grant management & sustainability; B6 Post-Award, Renewal & Adaptability; Award / Renewal",Original tested item G5.8 — statement and choices preserved
R11.16,48,G48,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,Our restricted or project funds are separated from other funds,Risk register and mitigation tracking,"Assess whether you can show restricted funds are not mixed, misused, or accidentally spent elsewhere.",1 — Restricted/project funds are mixed with no clear tracking,2 — Some separation exists but is weak or inconsistent,3 — Funds are partly separated but reconciliation is needed,4 — Restricted/project funds are mostly separated and traceable,"5 — Restricted/project funds are clearly separated, tracked, and reportable",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G5.9 — statement and choices preserved
R11.17,49,G49,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,Basic operations continue if lead person/s are unavailable for 2 weeks,"Fraud, conflict and whistleblowing controls","Check continuity of payments, decisions, access, communications, and delivery when key people are unavailable.",1 — Basic operations would likely stop within days,2 — Operations would continue only through emergency workarounds,"3 — Some functions would continue, but important gaps remain",4 — Most basic operations would continue with minor disruption,5 — Operations can continue through documented backups and shared access,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G5.10 — statement and choices preserved
R11.18,50,G50,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,The grant size we seek would not create unmanageable pressure or hidden labour,"HR, payroll or consultant contracting readiness","Assess whether the requested grant size matches real management, reporting, staffing, care, and compliance capacity.",1 — The grant size would create serious hidden labour or delivery risk,2 — The grant would stretch people/systems beyond healthy limits,3 — The grant is possible but needs more resourcing or scope control,4 — The grant is mostly manageable with minor supports,"5 — The grant size is healthy, resourced, and operationally manageable",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G5.11 — statement and choices preserved
R06.01,51,G51,R06,Network position & access routes,D12,Referrals and intermediaries,"B3 - Fit, Competitiveness & Access",,"We belong to relevant coalitions, networks, or movement spaces",Warm introduction availability,"Check whether your network membership is relevant, active, and connected to the work/funding ecosystem.",1 — We are not connected to relevant networks or movement spaces,"2 — Connections exist but are passive, outdated, or weak",3 — We belong to some relevant spaces but engagement is uneven,4 — We are active in relevant networks with minor gaps,5 — We are meaningfully embedded in relevant networks/movements,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Network position & access routes; B3 Fit, Competitiveness & Access; Opportunity; Conversation",Original tested item G6.1 — statement and choices preserved
R06.02,52,G52,R06,Network position & access routes,D12,Referrals and intermediaries,"B3 - Fit, Competitiveness & Access",,"We contribute to solidarity or collaborations meaningfully, such as securing funding, sharing risk, coordinating, or strengthening others",Referral and reference network strength,"Assess whether collaboration is reciprocal and useful, not just branding.",1 — We rarely contribute to solidarity or collaborations,2 — Contributions are occasional or mostly symbolic,3 — We contribute in some useful ways but inconsistently,4 — We contribute meaningfully in most collaborations,"5 — We are known for generous, strategic, and reliable collaboration",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Network position & access routes; B3 Fit, Competitiveness & Access; Opportunity; Conversation",Original tested item G6.2 — statement and choices preserved
R06.03,53,G53,R06,Network position & access routes,D12,Referrals and intermediaries,"B3 - Fit, Competitiveness & Access",,"In the last 12 months, we have co-designed or shared credit with peer organisations",Intermediary route options,"Check whether collaboration practice includes shared design, shared visibility, and fair credit.",1 — No recent co-design or shared credit with peers,2 — Some peer work happened but credit/design was uneven,3 — A few examples exist but practice is inconsistent,4 — We mostly co-design and share credit fairly,5 — Recent collaborations show strong co-design and shared credit,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Network position & access routes; B3 Fit, Competitiveness & Access; Opportunity; Conversation",Original tested item G6.3 — statement and choices preserved
R06.04,54,G54,R06,Network position & access routes,D12,Referrals and intermediaries,"B3 - Fit, Competitiveness & Access",,Peers have publicly or privately praised our reliability,Access-route owner per priority funder,"Answer based on actual praise, referrals, invitations, feedback, or reputation signals from peers.",1 — Peers do not currently signal reliability or trust,"2 — Praise is rare, unclear, or not from relevant peers","3 — Some peers see us as reliable, but evidence is limited",4 — Several relevant peers praise or trust our reliability,5 — Peers consistently recognise us as reliable and worth working with,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Network position & access routes; B3 Fit, Competitiveness & Access; Opportunity; Conversation",Original tested item G6.4 — statement and choices preserved
R07.04,55,G55,R07,"Relationship, leadership & visibility",D13,Relationship management,"B3 - Fit, Competitiveness & Access",,We have visible or well-respected staff and leadership who strengthen trust in the work,"Advisor, champion or board connector use",Assess whether leadership credibility supports trust without making the organisation dependent on celebrity or one person.,1 — Leadership credibility is not visible or trusted externally,2 — Some credibility exists but is narrow or person-dependent,3 — Leadership credibility helps in some spaces but needs broader proof,4 — Leadership mostly strengthens trust with minor gaps,"5 — Leadership is respected, relevant, and strengthens organisational trust",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Relationship, leadership & visibility; B3 Fit, Competitiveness & Access; Conversation; Award/Renewal",Original tested item G6.5 — statement and choices preserved
R06.05,56,G56,R06,Network position & access routes,D12,Referrals and intermediaries,"B3 - Fit, Competitiveness & Access",,We have warm introductions or relationships with potential funders,Peer bridge and movement ally routes,"Check whether access exists through real relationships, not only public emails or application portals.",1 — No warm routes to potential funders exist,2 — A few weak or outdated introductions exist,3 — Some warm routes exist but need nurturing or clarity,4 — Several relevant warm routes are active,"5 — Priority funders have warm, trusted, and usable access routes",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Network position & access routes; B3 Fit, Competitiveness & Access; Opportunity; Conversation",Original tested item G6.6 — statement and choices preserved
R07.05,57,G57,R07,"Relationship, leadership & visibility",D13,Relationship management,"B3 - Fit, Competitiveness & Access",,We proactively manage relationships with funders through updates and engagement,Peer reputation and partner familiarity,Assess whether funder relationships are maintained before you need money.,1 — We only contact funders when applying or in crisis,2 — Updates are irregular or depend on one person,3 — Some funder engagement happens but lacks rhythm,4 — Funder relationships are mostly maintained with useful updates,"5 — Funder engagement is intentional, warm, consistent, and strategic",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Relationship, leadership & visibility; B3 Fit, Competitiveness & Access; Conversation; Award/Renewal",Original tested item G6.7 — statement and choices preserved
R07.06,58,G58,R07,"Relationship, leadership & visibility",D13,Relationship management,"B3 - Fit, Competitiveness & Access",,"Our work strengthens the wider ecosystem, not only us",Community visibility and grounded presence,"Check whether your work builds shared capacity, knowledge, safety, infrastructure, or movement power.",1 — Our work mainly benefits us and does not show ecosystem value,2 — Ecosystem value is claimed but not clearly evidenced,3 — Some ecosystem value exists but could be clearer,4 — Our work mostly strengthens peers/movements as well as us,"5 — Ecosystem contribution is clear, evidenced, and valued by others",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Relationship, leadership & visibility; B3 Fit, Competitiveness & Access; Conversation; Award/Renewal",Original tested item G6.8 — statement and choices preserved
R06.06,59,G59,R06,Network position & access routes,D12,Referrals and intermediaries,"B3 - Fit, Competitiveness & Access",,Partners and peers include us in opportunities and referrals,Direct funder contact pathway,"Assess whether others trust you enough to bring you into rooms, proposals, referrals, or shared opportunities.",1 — Partners/peers rarely include us in opportunities,2 — Inclusion happens occasionally but is not reliable,"3 — Some referrals or invitations happen, with gaps",4 — Partners/peers often include us in relevant opportunities,"5 — We are regularly referred, invited, and included because we are trusted",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Network position & access routes; B3 Fit, Competitiveness & Access; Opportunity; Conversation",Original tested item G6.9 — statement and choices preserved
R01.02,60,G60,R01,"Context, legal route & compliance",D01,Operating context and safety,"B1 - Context, Eligibility & Compliance",,"In the last 12 months, climate or environmental shocks disrupted us",Civic space and political sensitivity,Score the level of disruption and resilience. A higher score means lower disruption or stronger mitigation.,1 — Climate/environmental shocks severely disrupted delivery or funding,2 — Shocks caused major disruption and weak recovery,3 — Shocks caused moderate disruption with some recovery,4 — Shocks caused minor disruption or were mostly managed,"5 — No material disruption, or resilience measures worked well",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Context, legal route & compliance; B1 Context, Eligibility & Compliance; Opportunity; Eligibility; Due Diligence",Original tested item G7.1 — statement and choices preserved
R01.03,61,G61,R01,"Context, legal route & compliance",D01,Operating context and safety,"B1 - Context, Eligibility & Compliance",,"In the last 12 months, economic shocks disrupted us",Legal identity and registration clarity,"Score inflation, currency, banking, cost-of-living, donor cuts, or supplier-cost disruption. Higher score means better resilience.",1 — Economic shocks severely disrupted operations or funding,2 — Economic shocks created major unplanned pressure,3 — Economic shocks created moderate pressure with partial mitigation,4 — Economic shocks created minor pressure that was mostly managed,"5 — No material disruption, or financial resilience measures worked well",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Context, legal route & compliance; B1 Context, Eligibility & Compliance; Opportunity; Eligibility; Due Diligence",Original tested item G7.2 — statement and choices preserved
R01.04,62,G62,R01,"Context, legal route & compliance",D01,Operating context and safety,"B1 - Context, Eligibility & Compliance",,"In the last 12 months, political or legal shocks and shifts disrupted us",Eligibility documentation consistency,"Score regulatory, legal, political, security, or civic-space disruption. Higher score means lower disruption or stronger mitigation.",1 — Political/legal shifts severely disrupted or endangered the work,"2 — Shifts created major restrictions, risk, or delays",3 — Shifts created moderate disruption with partial workarounds,4 — Shifts created minor disruption that was mostly managed,"5 — No material disruption, or strong mitigation kept work stable",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Context, legal route & compliance; B1 Context, Eligibility & Compliance; Opportunity; Eligibility; Due Diligence",Original tested item G7.3 — statement and choices preserved
R01.05,63,G63,R01,"Context, legal route & compliance",D01,Operating context and safety,"B1 - Context, Eligibility & Compliance",,"In the last 12 months, changes in our context affected our funding options negatively","Name, banking and registration consistency","Assess whether external context reduced eligibility, access, donor appetite, payment routes, safety, or funder confidence.",1 — Context changes seriously reduced our funding options,2 — Context changes closed or weakened several options,3 — Context changes created mixed or moderate funding barriers,4 — Context changes created minor barriers we can manage,"5 — Context changes did not reduce options, or we adapted well",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Context, legal route & compliance; B1 Context, Eligibility & Compliance; Opportunity; Eligibility; Due Diligence",Original tested item G7.4 — statement and choices preserved
R01.06,64,G64,R01,"Context, legal route & compliance",D01,Operating context and safety,"B1 - Context, Eligibility & Compliance",,"In the past 12 months, funders have explicitly cited context, risk, or compliance as blockers",Direct grant-receiving route clarity,"Answer from actual funder feedback, rejection reasons, due diligence concerns, or risk conversations.",1 — Several funders cited context/risk/compliance as blockers,2 — One or more funders raised serious concerns,3 — Some concerns were raised but not decisive,4 — Minor concerns were raised and are manageable,"5 — No funder has cited context, risk, or compliance as a blocker",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Context, legal route & compliance; B1 Context, Eligibility & Compliance; Opportunity; Eligibility; Due Diligence",Original tested item G7.5 — statement and choices preserved
R01.07,65,G65,R01,"Context, legal route & compliance",D01,Operating context and safety,"B1 - Context, Eligibility & Compliance",,"In the last 12 months, changes in our context or movement affected our funding options positively",Fiscal host or intermediary route readiness,"Score whether your context created openings: new urgency, visibility, policy windows, solidarity, or funder interest.",1 — No positive funding openings emerged from context changes,2 — Possible openings emerged but we have not used them,3 — Some openings exist but need clearer strategy,4 — Context created useful openings we are beginning to use,5 — Context created strong openings that we have translated into prospects,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Context, legal route & compliance; B1 Context, Eligibility & Compliance; Opportunity; Eligibility; Due Diligence",Original tested item G7.6 — statement and choices preserved
R01.08,66,G66,R01,"Context, legal route & compliance",D01,Operating context and safety,"B1 - Context, Eligibility & Compliance",,"Our country or region is facing banking, currency, or transfer challenges",Compliance pack readiness,Score route risk. Higher score means transfer issues are absent or strongly managed.,1 — Banking/currency/transfer challenges seriously block funding routes,2 — Challenges are major and workarounds are weak,3 — Challenges exist but some routes remain usable,4 — Challenges are minor or mostly managed,"5 — No material transfer challenge, or verified routes are strong",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Context, legal route & compliance; B1 Context, Eligibility & Compliance; Opportunity; Eligibility; Due Diligence",Original tested item G7.7 — statement and choices preserved
R01.09,67,G67,R01,"Context, legal route & compliance",D01,Operating context and safety,"B1 - Context, Eligibility & Compliance",,"If direct funding is blocked, we have alternative routes such as fiscal hosting, regranting, intermediaries, consortia, or local partners","Tax, statutory and reporting obligations clarity","Assess whether alternative funding routes are real, ethical, safe, and usable.",1 — No viable alternative funding routes exist,2 — Possible routes are only ideas or risky workarounds,3 — Some alternative routes exist but need verification,4 — Alternative routes are mostly viable with minor gaps,"5 — Multiple safe, verified, ethical routes are ready to use",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Context, legal route & compliance; B1 Context, Eligibility & Compliance; Opportunity; Eligibility; Due Diligence",Original tested item G7.8 — statement and choices preserved
R01.10,68,G68,R01,"Context, legal route & compliance",D01,Operating context and safety,"B1 - Context, Eligibility & Compliance",,Our work type is politically sensitive or structurally excluded in ways that limit funder appetite,"Banking, currency or transfer constraint check","Assess whether the work itself creates funder caution, eligibility barriers, safety concerns, or route restrictions. Higher score means the sensitivity is understood and manageable.",1 — Our work type is highly sensitive and funders have told us this blocks funding,2 — Our work type is sensitive and we see this as a barrier,3 — Sensitivity creates some barriers but some funders still engage,4 — Sensitivity is manageable with appropriate funder relationships,5 — Our work type does not present a significant political sensitivity barrier,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Context, legal route & compliance; B1 Context, Eligibility & Compliance; Opportunity; Eligibility; Due Diligence",Original tested item G7.9 — statement and choices preserved
R01.11,69,G69,R01,"Context, legal route & compliance",D01,Operating context and safety,"B1 - Context, Eligibility & Compliance",,The operating environment for our work is currently well understood by the funders we approach,Due-diligence exposure assessment,"Assess whether funders understand the risk, safety, political, civic-space, and community realities that shape your work, rather than misreading them as weak performance.",1 — Funders clearly do not understand or underestimate the risk context,2 — Some funders understand but others need education,3 — Understanding is mixed and inconsistent,4 — Most funders understand the context well,5 — Funders actively seek out work in this context and understand it deeply,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Context, legal route & compliance; B1 Context, Eligibility & Compliance; Opportunity; Eligibility; Due Diligence",Original tested item G7.10 — statement and choices preserved
R02.01,70,G70,R02,Funder intelligence & timing,D03,Funder market intelligence,B2 - Funding Intelligence & System Discipline,,We have a healthy number and set of identified potential funders,Current priority verification,"Check whether your prospect list is large enough, relevant enough, and segmented enough to support strategy.",1 — No clear potential funders are identified,"2 — 1–3 possible funders are listed, with weak or untested fit",3 — 4–8 possible funders exist with mixed fit or route clarity,"4 — 9–15 funders are segmented by fit, route, and timing","5 — 16+ strong prospects are mapped with fit, route, timing, and next step",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),Funder intelligence & timing; B2 Funding Intelligence & System Discipline; Opportunity; Proposal Planning,Original tested item G8.1 — statement and choices preserved
R02.02,71,G71,R02,Funder intelligence & timing,D03,Funder market intelligence,B2 - Funding Intelligence & System Discipline,,"We stay current with potential funders by following target funders online, reading newsletters/reports, attending briefings, or tracking strategy shifts",Funding cycle and timing intelligence,Assess whether funder intelligence is current rather than based on old reputation.,1 — We do not actively track funder changes,2 — Tracking is occasional and easy to miss,3 — Some funders are tracked but the system is incomplete,4 — Most priority funders are tracked regularly,"5 — Funder intelligence is current, systematic, and used in decisions",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),Funder intelligence & timing; B2 Funding Intelligence & System Discipline; Opportunity; Proposal Planning,Original tested item G8.2 — statement and choices preserved
R02.03,72,G72,R02,Funder intelligence & timing,D03,Funder market intelligence,B2 - Funding Intelligence & System Discipline,,We know when target funder types open calls or refresh strategies,Grant size and modality intelligence,"Check whether you understand timing windows across foundations, bilaterals, regranters, emergency funds, CSI, or intermediaries.",1 — We do not know key funder timing windows,2 — Timing knowledge is guessed or remembered informally,3 — Some timing windows are known but not complete,4 — Most target timing windows are known and reviewed,"5 — Timing windows are mapped, current, and built into our fundraising calendar",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),Funder intelligence & timing; B2 Funding Intelligence & System Discipline; Opportunity; Proposal Planning,Original tested item G8.3 — statement and choices preserved
R02.04,73,G73,R02,Funder intelligence & timing,D04,Funder timing and access gates,B2 - Funding Intelligence & System Discipline,,We track funder deadlines and cycles in a live system,Comparable grantee and portfolio research,"Assess whether deadlines, cycles, reminders, and responsibilities are actively managed.",1 — Deadlines/cycles are not tracked in a live system,"2 — Tracking depends on inboxes, memory, or one person",3 — A basic tracker exists but is incomplete or irregular,4 — The tracker is mostly current and useful,"5 — Deadlines/cycles are live, assigned, reviewed, and acted on",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),Funder intelligence & timing; B2 Funding Intelligence & System Discipline; Opportunity; Proposal Planning,Original tested item G8.4 — statement and choices preserved
R02.05,74,G74,R02,Funder intelligence & timing,D04,Funder timing and access gates,B2 - Funding Intelligence & System Discipline,,We can respond to fast-turnaround opportunities within 2 weeks,Hidden eligibility checks,"Check whether core materials, budgets, decisions, and review capacity allow a quick response.",1 — We cannot respond within 2 weeks without major disruption,2 — A quick response would require crisis effort,3 — We can respond sometimes but quality may suffer,4 — We can usually respond within 2 weeks with minor strain,5 — We can respond quickly with prepared materials and clear roles,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),Funder intelligence & timing; B2 Funding Intelligence & System Discipline; Opportunity; Proposal Planning,Original tested item G8.5 — statement and choices preserved
R02.06,75,G75,R02,Funder intelligence & timing,D03,Funder market intelligence,B2 - Funding Intelligence & System Discipline,,"We know when funders have unspent budget, urgent gaps, or rapid-response opportunities",Decision-maker and gatekeeper mapping,Assess whether you detect off-cycle opportunities and urgent funding windows.,1 — We have no way to detect urgent or unspent-budget opportunities,2 — We hear about these opportunities late or by chance,3 — We sometimes detect openings but lack a reliable method,4 — We often detect openings through networks or tracking,"5 — We actively spot, verify, and act on urgent/off-cycle openings",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),Funder intelligence & timing; B2 Funding Intelligence & System Discipline; Opportunity; Proposal Planning,Original tested item G8.6 — statement and choices preserved
R02.07,76,G76,R02,Funder intelligence & timing,D04,Funder timing and access gates,B2 - Funding Intelligence & System Discipline,,"We know the access route for each priority funder, such as open call, invitation, fiscal host, intermediary, consortium, emergency route, or warm introduction",Funder language and pattern reading,"Clarifies whether you know how each funder actually receives and advances requests, not just who they are.",1 — We know funder names but not the route into them,2 — Routes are guessed or depend on one person's memory,"3 — Some priority funders have known routes, but gaps remain",4 — Most priority funders are mapped by route and next step,"5 — Each priority funder has a verified route, contact path, timing, and next step",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),Funder intelligence & timing; B2 Funding Intelligence & System Discipline; Opportunity; Proposal Planning,Original tested item G8.7 — statement and choices preserved
R03.01,77,G77,R03,Fundraising systems & go/no-go,D06,Go/no-go discipline and repair loop,B2 - Funding Intelligence & System Discipline,,"We keep organisational memory of what worked and failed, when, where, and why",Live CRM or funder tracker,Check whether learning is captured so the organisation improves instead of repeating the same funding and delivery patterns.,1 — Learning is not captured and patterns repeat,2 — Learning stays in people's heads or scattered notes,3 — Some learning is recorded but hard to retrieve or use,4 — Learning is mostly captured and used in planning,"5 — Organisational memory is clear, accessible, and actively used",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),Fundraising systems & go/no-go; B2 Funding Intelligence & System Discipline; Opportunity; Application Submitted,Original tested item G9.1 — statement and choices preserved
R03.02,78,G78,R03,Fundraising systems & go/no-go,D06,Go/no-go discipline and repair loop,B2 - Funding Intelligence & System Discipline,,"After completing grant cycles, we analyse what worked, what did not, and adjust our tactics and actions",Go / no-go criteria and decision discipline,Assess whether grant closeout creates practical learning for the next funding cycle.,1 — Grant cycles end without review or adjustment,2 — Reviews are informal and rarely change tactics,3 — Some review happens but actions are inconsistent,4 — Most grant cycles produce useful adjustments,5 — Every grant cycle feeds clear tactical and strategic improvement,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),Fundraising systems & go/no-go; B2 Funding Intelligence & System Discipline; Opportunity; Application Submitted,Original tested item G9.2 — statement and choices preserved
R03.03,79,G79,R03,Fundraising systems & go/no-go,D06,Go/no-go discipline and repair loop,B2 - Funding Intelligence & System Discipline,,"In the last 12 months, after rejection, we analysed why and adjusted our tactics and actions",Application volume versus success review,"Check whether rejection becomes intelligence rather than shame, silence, or repeated applications to the wrong places.",1 — Rejections were not analysed or learned from,2 — Reasons were guessed but not investigated,3 — Some rejection learning happened but actions were limited,4 — Most rejections were reviewed and used to adjust tactics,"5 — Rejection patterns are actively analysed and improve targeting, narrative, and routes",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),Fundraising systems & go/no-go; B2 Funding Intelligence & System Discipline; Opportunity; Application Submitted,Original tested item G9.3 — statement and choices preserved
R12.02,80,G80,R12,Grant management & sustainability,D23,Grant management and renewal,"B6 - Post-Award, Renewal & Adaptability",,We can pivot based on feedback; our operations are flexible and adaptive without becoming chaotic,Renewal and bridge-funding route,"Assess whether the organisation can change course while keeping accountability, care, and delivery quality.",1 — Feedback rarely changes plans or practice,2 — Pivots happen only under pressure and create confusion,3 — We can pivot sometimes but systems/care need strengthening,4 — We usually adapt based on feedback with manageable disruption,"5 — We adapt quickly, responsibly, and without losing coherence",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Grant management & sustainability; B6 Post-Award, Renewal & Adaptability; Award / Renewal",Original tested item G9.4 — statement and choices preserved
R12.03,81,G81,R12,Grant management & sustainability,D23,Grant management and renewal,"B6 - Post-Award, Renewal & Adaptability",,"We learn from community feedback, and our team has grown or improved based on past challenges",Grant management adaptability,"Check whether community feedback and challenge actually change behaviour, systems, relationships, or quality.",1 — Community feedback does not meaningfully change our practice,2 — Feedback is heard but rarely translated into improvements,3 — Some improvements come from feedback and challenges,4 — Feedback regularly improves team practice and decisions,"5 — Community feedback is actively used to strengthen trust, quality, and accountability",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Grant management & sustainability; B6 Post-Award, Renewal & Adaptability; Award / Renewal",Original tested item G9.5 — statement and choices preserved
R03.04,82,G82,R03,Fundraising systems & go/no-go,D06,Go/no-go discipline and repair loop,B2 - Funding Intelligence & System Discipline,,We can distinguish fixable internal gaps from contextual and structural blockages we do not directly control,Proposal calendar and sequencing,"Assess whether the team can separate what to repair internally from what requires route changes, advocacy, partnership, or funder negotiation.",1 — We often blame ourselves or others without distinguishing causes,2 — Blockages are noticed but not clearly sorted,3 — Some internal vs structural distinction is made,4 — We usually separate fixable gaps from external constraints,"5 — We clearly diagnose internal fixes, external constraints, and route strategies",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),Fundraising systems & go/no-go; B2 Funding Intelligence & System Discipline; Opportunity; Application Submitted,Original tested item G9.6 — statement and choices preserved
